train_loss,val_loss,train_acc,val_acc,train_acc_top5,val_acc_top5,learning_rate
2.9036345945012316,2.4076867033430625,0.2720344869856577,0.36376266753841124,0.5495239651861236,0.6681922196796338,0.0019159727461942084
2.133677582987649,2.239883599658541,0.42311935602500717,0.40168355671788164,0.7331140440485433,0.709954233409611,0.0019145554776113709
1.818548421273656,2.032018823263574,0.49666979937073513,0.4515364498202027,0.7938748825235975,0.7571101667211507,0.0019121949174388732
1.5966044049168893,1.926618896967915,0.5524659829199526,0.473847662634848,0.8362685408409268,0.7776234063419418,0.0019088933952646119
1.4169412868431015,1.8781681350727961,0.5947370571650391,0.4912553121935273,0.8665059453275038,0.7888198757763976,0.0019046541692923746
1.2721368179242183,1.8900535984653475,0.6321456298778246,0.4977933965348153,0.8906141462019369,0.7874305328538738,0.0018994814231263887
1.137070738869343,1.8618278119952978,0.668001471008867,0.5071918927754168,0.9117803293425408,0.801487414187643,0.0018933802616426063
1.0196259565076329,1.8390711481643682,0.6984227516038083,0.5183066361556065,0.9300453561067299,0.8094965675057209,0.00188635670595081
0.9099525711306786,1.8201825857630116,0.7306827932823928,0.5233736515201046,0.941343521431782,0.8171788166067342,0.0018784176874525038
0.8268786058093502,1.8480787464277773,0.7514812242062682,0.523618829682903,0.9524169492910555,0.814481856815953,0.0018695710410004556
0.7463379702935137,1.9547763894530985,0.7742614309647367,0.5201046093494606,0.9609161116332285,0.8091696632886565,0.0018598254971666454
0.6813842905014394,2.037589830953181,0.79199526008254,0.5094802222948676,0.9675765128917583,0.7974828375286042,0.001849190673626243
0.6198981596248363,1.992070926564626,0.8108527765292364,0.5240274599542334,0.9738895926122666,0.8076168682576005,0.0018376770656661253
0.568926681049102,1.917135200612722,0.8279328239284109,0.540045766590389,0.9773832386711887,0.8224910101340307,0.0018252960358272944
0.5330082113233413,1.9588045257881366,0.8357577738732481,0.5349787512258908,0.9816123891635681,0.8160346518470089,0.001812059802691421
0.48389053269955895,1.884481296269634,0.8524087770195726,0.5456031382804838,0.9840845012871328,0.8283752860411899,0.0017979814288225802
0.4565774937047784,1.9865965592623458,0.8599681281412169,0.5429879045439686,0.9851877579373187,0.8221641059169663,0.0017830748078760787
