train_loss,val_loss,train_acc,val_acc,train_acc_top5,val_acc_top5,learning_rate
2.607029035845147,2.1107082319399937,0.3317329301679402,0.42840797646289636,0.6155354880889143,0.7307943772474665,0.0019159727461942084
1.491025870555472,1.9078454642406513,0.5768602132962858,0.4810395554102648,0.8544722755689944,0.7786858450474011,0.0019145554776113709
0.8409327157540447,2.065678748713478,0.75354472275569,0.4667374959136973,0.9489641645895477,0.7776234063419418,0.0019121949174388732
0.38516127938502936,2.2974674005686126,0.8890614146201937,0.4704968944099379,0.9904180116863482,0.7762340634194181,0.0019088933952646119
0.19286506683704768,2.4704528059901736,0.948024353369019,0.4870055573716901,0.9976504719486782,0.7899640405361229,0.0019046541692923746
0.12748703865929345,2.480630726703595,0.9666162709925225,0.4839816933638444,0.9994688023536142,0.7853873814972213,0.0018994814231263887
0.0854234279714519,2.6597787655035083,0.9788951088955176,0.4835730630925139,0.9998161238916358,0.7847335730630925,0.0018933802616426063
0.06811605693882566,2.5676135461912626,0.9831038287091898,0.4962406015037594,0.9997956932129286,0.7870219025825433,0.00188635670595081
0.07964297278474028,2.6497974658409884,0.9784864953213747,0.4857796665576986,0.9997548318555143,0.7768061457992809,0.0018784176874525038
0.0839295518250692,2.776883021800804,0.9775058227434316,0.4791598561621445,0.9997752625342214,0.7772147760706113,0.0018695710410004556
0.09651556093389897,2.6796812129667593,0.9732153802149308,0.4793233082706767,0.9996118171045643,0.7751716247139588,0.0018598254971666454
0.06428239275456078,2.973638273057068,0.9837780411065257,0.4701699901928735,0.9997548318555143,0.7744360902255639,0.001849190673626243
